fdc_id;name_de;name_en;brand;ingredients_en;kcal;protein;carbs;sugar;fat;satfat;fiber;salt;micronutrients_json
2346414;;Applesauce, unsweetened, with added vitamin C;;;46.421;0.273;12.262;0;0.163;0;0;0.001;"{""calcium"":3.821,""eisen"":0.04475,""kalium"":107.7,""kupfer"":0.03905,""magnesium"":3.938,""mangan"":0.0368,""natrium"":0.5038,""phosphor"":9.119,""vitamin_b7"":0.0,""vitamin_c"":43.69,""zink"":0.002625}"
2710815;;Apricot, with skin, raw;;;43.479;0.961;10.239;0;0.405;0;1.51;0;"{""calcium"":11.59,""eisen"":0.1634,""kalium"":231.4,""kupfer"":0.05614,""magnesium"":8.883,""mangan"":0.05361,""natrium"":0.0,""phosphor"":22.51,""vitamin_b7"":0.0,""vitamin_c"":3.071,""zink"":0.1483}"
2710822;;Arugula, baby, raw;;;25.908;1.649;5.368;0;0.325;0;2.28;0.217;"{""calcium"":203.7,""eisen"":1.393,""kalium"":406.8,""kupfer"":0.08273,""magnesium"":42.65,""mangan"":0.514,""natrium"":86.93,""phosphor"":51.19,""vitamin_b9"":149.2,""vitamin_c"":101.4,""zink"":0.3483}"
2710823;;Asparagus, green, raw;;;23.529;1.438;5.101;0;0.216;0;1.883;0.006;"{""calcium"":20.58,""eisen"":0.4436,""kalium"":277.5,""kupfer"":0.1315,""magnesium"":13.78,""mangan"":0.1455,""natrium"":2.46,""phosphor"":53.9,""vitamin_b1"":0.06875,""vitamin_b3"":1.078,""vitamin_b6"":0.1118,""vitamin_b9"":182.5,""vitamin_c"":9.153,""zink"":0.5955}"
2710824;;Avocado, Hass, peeled, raw;;;206.049;1.813;8.324;0;20.31;0;0;0;"{""calcium"":14.46,""eisen"":0.6133,""kalium"":576.4,""kupfer"":0.2849,""magnesium"":32.8,""mangan"":0.1966,""natrium"":0.0,""phosphor"":42.38,""vitamin_b6"":0.1674,""vitamin_b9"":128.7,""vitamin_c"":0.0,""zink"":0.4596}"
1105073;;Bananas, overripe, raw;;;85;0.73;20.1;0;0.22;0;1.7;0;"{""vitamin_a"":1.0,""vitamin_b1"":0.04,""vitamin_b2"":0.0,""vitamin_b3"":0.57,""vitamin_b6"":0.234,""vitamin_b7"":0.0,""vitamin_b9"":25.0,""vitamin_c"":9.7,""vitamin_k"":0.2}"
2644285;;Beans, black, canned, sodium added, drained and rinsed;;;115.282;6.913;19.814;0;1.273;0;0;0.545;"{""calcium"":43.31,""eisen"":1.688,""kalium"":253.1,""kupfer"":0.3359,""magnesium"":32.54,""mangan"":0.3324,""natrium"":217.9,""phosphor"":90.95,""zink"":0.7399}"
2644287;;Beans, cannellini, canned, sodium added, drained and rinsed;;;112.097;7.413;18.819;0;1.169;0;0;0.41;"{""calcium"":69.19,""eisen"":1.405,""kalium"":202.6,""kupfer"":0.2193,""magnesium"":29.29,""mangan"":0.3686,""natrium"":164.0,""phosphor"":94.74,""zink"":0.5155}"
2644281;;Beans, cannellini, dry;;;336.595;21.563;59.796;0;2.199;0;0;0;"{""calcium"":142.9,""eisen"":6.673,""kalium"":1424.0,""kupfer"":0.7419,""magnesium"":153.6,""mangan"":1.784,""natrium"":0.0,""phosphor"":412.3,""zink"":2.72}"
2644294;;Beans, great northern, canned, sodium added, drained and rinsed;;;113.663;7.031;19.329;0;1.266;0;0;0.558;"{""calcium"":67.16,""eisen"":1.382,""kalium"":213.1,""kupfer"":0.2558,""magnesium"":29.3,""mangan"":0.4628,""natrium"":223.1,""phosphor"":88.61,""zink"":0.6349}"
2644289;;Beans, kidney, dark red, canned, sodium added, sugar added, drained and rinsed;;;123.171;7.8;21.03;0;1.256;0;0;0.431;"{""calcium"":56.94,""eisen"":1.439,""kalium"":226.9,""kupfer"":0.273,""magnesium"":29.31,""mangan"":0.3285,""natrium"":172.3,""phosphor"":104.1,""zink"":0.56}"
2644290;;Beans, kidney, light red, canned, sodium added, sugar added, drained and rinsed;;;123.514;7.306;21.447;0;1.299;0;0;0.396;"{""calcium"":60.25,""eisen"":1.305,""kalium"":209.4,""kupfer"":0.2713,""magnesium"":25.49,""mangan"":0.3453,""natrium"":158.5,""phosphor"":93.56,""zink"":0.526}"
2644286;;Beans, navy, canned, sodium added, drained and rinsed;;;115.827;6.569;19.983;0;1.398;0;0;0.475;"{""calcium"":63.91,""eisen"":1.599,""kalium"":183.7,""kupfer"":0.29,""magnesium"":29.56,""mangan"":0.3771,""natrium"":190.1,""phosphor"":86.71,""zink"":0.6313}"
2644292;;Beans, pinto, canned, sodium added, drained and rinsed;;;113.597;6.694;19.6;0;1.266;0;0;0.504;"{""calcium"":55.23,""eisen"":1.284,""kalium"":209.6,""kupfer"":0.2546,""magnesium"":27.49,""mangan"":0.3168,""natrium"":201.6,""phosphor"":83.11,""zink"":0.6248}"
321611;;Beans, snap, green, canned, regular pack, drained solids;;;21;1.04;4.11;0;0.39;0;0;0.705;"{""calcium"":36.0,""eisen"":0.78,""kalium"":97.0,""kupfer"":0.041,""magnesium"":12.7,""mangan"":0.176,""natrium"":282.0,""phosphor"":23.0,""zink"":0.19}"
2346400;;Beans, snap, green, raw;;;33.568;1.969;7.412;0;0.275;0;3.011;0;"{""calcium"":40.05,""eisen"":0.6516,""kalium"":290.4,""kupfer"":0.09829,""magnesium"":28.21,""mangan"":0.3324,""natrium"":0.0,""phosphor"":41.15,""vitamin_b1"":0.06,""vitamin_b3"":0.7313,""vitamin_b6"":0.121,""vitamin_k"":43.9,""zink"":0.3498}"
2646174;;Beef, chuck, roast, boneless, choice, raw;;;237.097;18.4;0;0;17.8;6.341;0;0.121;"{""calcium"":4.576,""eisen"":2.059,""kalium"":281.1,""kupfer"":0.05405,""magnesium"":16.99,""mangan"":0.0,""natrium"":48.44,""phosphor"":151.0,""zink"":5.386}"
2646175;;Beef, flank, steak, boneless, choice, raw;;;169.563;20.131;0;0;9.399;3.551;0;0.128;"{""calcium"":3.836,""eisen"":1.834,""kalium"":331.8,""kupfer"":0.04471,""magnesium"":18.86,""mangan"":0.001688,""natrium"":51.3,""phosphor"":167.3,""zink"":5.563}"
2514744;;Beef, ground, 80% lean meat / 20% fat, raw;;;247.813;17.531;0;0;19.44;6.845;0;0.137;"{""calcium"":6.889,""eisen"":1.965,""kalium"":273.3,""kupfer"":0.0551,""magnesium"":16.41,""mangan"":0.0,""natrium"":54.94,""phosphor"":144.4,""zink"":3.848}"
2514743;;Beef, ground, 90% lean meat / 10% fat, raw;;;190.135;18.156;0;0;12.85;5.051;0;0.154;"{""calcium"":7.135,""eisen"":2.128,""kalium"":281.4,""kupfer"":0.05616,""magnesium"":16.49,""mangan"":0.0,""natrium"":61.64,""phosphor"":148.0,""zink"":4.194}"
2646172;;Beef, ribeye, steak, boneless, choice, raw;;;259.611;18.744;0;0;20.04;7.966;0;0.106;"{""calcium"":4.173,""eisen"":1.641,""kalium"":288.0,""kupfer"":0.04263,""magnesium"":16.68,""mangan"":0.0,""natrium"":42.54,""phosphor"":149.7,""zink"":4.063}"
2646173;;Beef, round, top round, boneless, choice, raw;;;146.437;21.475;0.852;0;5.703;1.695;0;0.114;"{""calcium"":4.07,""eisen"":1.901,""kalium"":351.5,""kupfer"":0.05515,""magnesium"":22.08,""mangan"":0.002875,""natrium"":45.54,""phosphor"":192.3,""zink"":3.778}"
